New run of the Duchamp sourcefinder: Thu May 17 11:53:14 2007
Executing statement : ./Duchamp -p verification/input3 

---- Parameters ----
Image to be analysed.........................[imageFile]  =  verification/verificationCube.fits
Intermediate Logfile...........................[logFile]  =  verification/log3.txt
Final Results file.............................[outFile]  =  verification/results3.txt
Spectrum file..............................[spectraFile]  =  verification/spectra3.ps
Display a map in a pgplot xwindow?.........[flagXOutput]  =  true
Saving reconstructed cube?.............[flagOutputRecon]  =  false
Saving residuals from reconstruction?..[flagOutputResid]  =  false
------
Trimming Blank Pixels?........................[flagTrim]  =  false
Searching for Negative features?..........[flagNegative]  =  false
Removing Milky Way channels?....................[flagMW]  =  false
Beam Size (pixels)......................................  =  10.1788
Removing baselines before search?.........[flagBaseline]  =  false
Smoothing each spectrum first?..............[flagSmooth]  =  false
Using A Trous reconstruction?...............[flagATrous]  =  true
Number of dimensions in reconstruction........[reconDim]  =  1
Minimum scale in reconstruction...............[scaleMin]  =  1
SNR Threshold within reconstruction...........[snrRecon]  =  3
Filter being used for reconstruction........[filterCode]  =  1 (B3 spline function)
Using FDR analysis?............................[flagFDR]  =  false
SNR Threshold (in sigma)........................[snrCut]  =  3
Minimum # Pixels in a detection.................[minPix]  =  2
Minimum # Channels in a detection..........[minChannels]  =  2
Growing objects after detection?............[flagGrowth]  =  false
Using Adjacent-pixel criterion?...........[flagAdjacent]  =  true
Max. velocity separation for merging....[threshVelocity]  =  7
Method of spectral plotting.............[spectralMethod]  =  peak
Type of object centre used in results......[pixelCentre]  =  centroid
--------------------

--------------------------------------------------------------------------------
 Obj#     X     Y     Z     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix
                        [Jy/beam] [Jy/beam]                                [pix]
--------------------------------------------------------------------------------
24 24 18
25 24 18
26 24 18
27 24 18
28 24 18
29 24 18
21 23 18
22 23 18
23 23 18
24 23 18
25 23 18
26 23 18
27 23 18
28 23 18
22 21 18
23 21 18
24 21 18
25 21 18
26 21 18
22 22 18
23 22 18
24 22 18
25 22 18
26 22 18
27 22 18
28 22 18
29 22 18
21 25 18
22 25 18
23 25 18
24 25 18
25 25 18
26 25 18
27 25 18
28 25 18
29 25 18
21 26 18
22 26 18
23 26 18
24 26 18
25 26 18
26 26 18
27 26 18
28 26 18
29 26 18
30 26 18
21 27 18
22 27 18
23 27 18
24 27 18
25 27 18
26 27 18
27 27 18
28 27 18
29 27 18
22 28 18
23 28 18
24 28 18
25 28 18
26 28 18
27 28 18
28 28 18
29 28 18
23 29 18
24 29 18
25 29 18
26 29 18
27 29 18
20 24 19
21 24 19
22 24 19
23 24 19
24 24 19
25 24 19
26 24 19
27 24 19
28 24 19
29 24 19
21 22 19
22 22 19
23 22 19
24 22 19
25 22 19
26 22 19
27 22 19
28 22 19
29 22 19
22 21 19
23 21 19
24 21 19
25 21 19
26 21 19
27 21 19
25 20 19
21 23 19
22 23 19
23 23 19
24 23 19
25 23 19
26 23 19
27 23 19
28 23 19
29 23 19
30 23 19
20 25 19
21 25 19
22 25 19
23 25 19
24 25 19
25 25 19
26 25 19
27 25 19
28 25 19
29 25 19
21 26 19
22 26 19
23 26 19
24 26 19
25 26 19
26 26 19
27 26 19
28 26 19
29 26 19
30 26 19
21 27 19
22 27 19
23 27 19
24 27 19
25 27 19
26 27 19
27 27 19
28 27 19
29 27 19
22 28 19
23 28 19
24 28 19
25 28 19
26 28 19
27 28 19
28 28 19
29 28 19
23 29 19
24 29 19
25 29 19
26 29 19
27 29 19
25 30 19
20 24 20
21 24 20
22 24 20
23 24 20
24 24 20
25 24 20
26 24 20
27 24 20
28 24 20
29 24 20
21 22 20
22 22 20
23 22 20
24 22 20
25 22 20
26 22 20
27 22 20
28 22 20
29 22 20
22 21 20
23 21 20
24 21 20
25 21 20
26 21 20
27 21 20
25 20 20
21 23 20
22 23 20
23 23 20
24 23 20
25 23 20
26 23 20
27 23 20
28 23 20
29 23 20
30 23 20
20 25 20
21 25 20
22 25 20
23 25 20
24 25 20
25 25 20
26 25 20
27 25 20
28 25 20
29 25 20
21 26 20
22 26 20
23 26 20
24 26 20
25 26 20
26 26 20
27 26 20
28 26 20
29 26 20
30 26 20
21 27 20
22 27 20
23 27 20
24 27 20
25 27 20
26 27 20
27 27 20
28 27 20
29 27 20
21 28 20
22 28 20
23 28 20
24 28 20
25 28 20
26 28 20
27 28 20
28 28 20
23 29 20
24 29 20
25 29 20
26 29 20
27 29 20
25 30 20
28 30 20
20 24 21
21 24 21
22 24 21
23 24 21
24 24 21
25 24 21
26 24 21
27 24 21
28 24 21
29 24 21
21 22 21
22 22 21
23 22 21
24 22 21
25 22 21
26 22 21
27 22 21
28 22 21
29 22 21
22 21 21
23 21 21
24 21 21
25 21 21
26 21 21
27 21 21
25 20 21
21 23 21
22 23 21
23 23 21
24 23 21
25 23 21
26 23 21
27 23 21
28 23 21
29 23 21
30 23 21
20 25 21
21 25 21
22 25 21
23 25 21
24 25 21
25 25 21
26 25 21
27 25 21
28 25 21
29 25 21
21 26 21
22 26 21
23 26 21
24 26 21
25 26 21
26 26 21
27 26 21
28 26 21
29 26 21
30 26 21
21 27 21
22 27 21
23 27 21
24 27 21
25 27 21
26 27 21
27 27 21
28 27 21
29 27 21
21 28 21
22 28 21
23 28 21
24 28 21
25 28 21
26 28 21
27 28 21
28 28 21
23 29 21
24 29 21
25 29 21
26 29 21
27 29 21
25 30 21
20 24 22
21 24 22
22 24 22
23 24 22
24 24 22
25 24 22
26 24 22
27 24 22
28 24 22
29 24 22
22 21 22
22 22 22
23 22 22
24 22 22
25 22 22
26 22 22
27 22 22
28 22 22
29 22 22
24 21 22
25 21 22
25 20 22
27 21 22
22 23 22
23 23 22
24 23 22
25 23 22
26 23 22
27 23 22
28 23 22
29 23 22
21 25 22
22 25 22
23 25 22
24 25 22
25 25 22
26 25 22
27 25 22
28 25 22
29 25 22
21 26 22
22 26 22
23 26 22
24 26 22
25 26 22
26 26 22
27 26 22
28 26 22
29 26 22
30 26 22
21 27 22
22 27 22
23 27 22
24 27 22
25 27 22
26 27 22
27 27 22
28 27 22
29 27 22
21 28 22
22 28 22
23 28 22
24 28 22
25 28 22
26 28 22
27 28 22
28 28 22
23 29 22
24 29 22
25 29 22
26 29 22
27 29 22
25 30 22
20 24 23
21 25 23
22 25 23
23 25 23
24 25 23
25 25 23
26 25 23
27 25 23
28 25 23
29 25 23
22 22 23
22 23 23
23 23 23
24 23 23
25 23 23
26 23 23
27 23 23
28 23 23
24 22 23
25 22 23
26 22 23
27 22 23
28 22 23
29 22 23
25 21 23
22 24 23
23 24 23
24 24 23
25 24 23
26 24 23
27 24 23
28 24 23
21 26 23
22 26 23
23 26 23
24 26 23
25 26 23
26 26 23
27 26 23
28 26 23
21 27 23
22 27 23
23 27 23
24 27 23
25 27 23
26 27 23
27 27 23
28 27 23
23 28 23
24 28 23
25 28 23
26 28 23
27 28 23
28 28 23
24 29 23
25 30 23
22 24 24
23 24 24
24 24 24
25 24 24
26 24 24
27 24 24
28 24 24
24 22 24
25 22 24
26 22 24
24 23 24
25 23 24
26 23 24
27 23 24
22 25 24
23 25 24
24 25 24
25 25 24
26 25 24
27 25 24
28 25 24
23 26 24
24 26 24
25 26 24
26 26 24
27 26 24
23 27 24
24 27 24
25 27 24
26 27 24
27 27 24
24 28 24
25 28 24
26 28 24
27 28 24
22 24 25
23 24 25
24 24 25
25 24 25
26 24 25
27 24 25
24 23 25
25 23 25
26 23 25
